repo_name,full_name,stars,forks,language,open_issues
pandas,pandas-dev/pandas,48670,19910,Python,3392
vscode,microsoft/vscode,184613,39658,TypeScript,17272
react,facebook/react,244833,51005,JavaScript,1279
tensorflow,tensorflow/tensorflow,195022,75277,C++,4927
spark,apache/spark,43238,29169,Scala,378
keras,keras-team/keras,64060,19765,Python,226
numpy,numpy/numpy,31978,12343,Python,2369
flask,pallets/flask,71494,16833,Python,3
django,django/django,87418,33846,Python,431
scikit-learn,scikit-learn/scikit-learn,65989,26992,Python,2027
